date,product_id,quantity_sold
2025-11-07,01b3fe8c-0da3-48b5-86c2-82f74aecd4a0,58
2025-11-07,96f54e45-0f15-495a-b5aa-07cb56e0b8f9,108
2025-11-07,c6b258b9-51c1-49b6-b231-20b7501bce13,172
2025-11-07,7025a881-bdf6-4e9d-8166-d8a717ec608a,49
2025-11-07,bbbb2f5c-8185-4c89-ae3b-81813a1981e7,198
2025-11-07,ed4fd8eb-32d4-44f4-87ce-5311ce7b1ee4,69
2025-11-07,ec73ea58-f301-4514-af2d-f390d407499c,51
2025-11-07,dbf835ff-b684-41a5-9b35-2c3c40d1834d,197
2025-11-07,23f70486-67f6-42c5-b999-948aaa2c85f2,53
2025-11-07,fdd3dda2-c43f-4892-bc72-edb07e0bf5bb,130
2025-11-07,7d985359-b272-4ac3-abd4-7b7367ca2877,191
2025-11-07,11e4bfbf-409e-4881-8bc9-250aea5b577f,322
2025-11-07,e08637cb-5b2c-4124-810e-eae10a429145,127
2025-11-07,ee80cc47-0896-4d6c-8250-f090f0c3f803,179
2025-11-07,f7b830c5-a8a9-4c17-9dac-519e87d29ff3,318
2025-11-07,05cdebbf-2701-4252-a214-19ab5c420bd0,238
2025-11-07,3de0fefc-693f-437d-afa4-1bab54b221b6,275
2025-11-08,08a93285-9aa2-4ee9-9548-1a807009769e,144
2025-11-08,93064fba-c826-4aa4-be4b-066a03c2db9f,296
2025-11-08,d6dec5de-c4b8-4b19-b98e-c09ef60ecf84,69
2025-11-08,19965a99-15ea-49d2-9e99-34d2a19b9d98,162
2025-11-08,7a27322b-9aad-41f2-8777-085f2a121080,491
2025-11-08,537a9bfc-b72d-49e3-9512-e74ec941106e,48
2025-11-08,5edd3e71-bc5f-488c-b797-fa7149021f7d,302
2025-11-08,19a3b635-bfe6-43c8-9c43-6e0610a325ef,46
2025-11-08,18649a10-1d3c-4172-972f-0426225d996e,37
2025-11-08,05cdebbf-2701-4252-a214-19ab5c420bd0,259
