date,product_id,quantity_sold
2026-01-01,product_1,10
2026-01-02,product_1,12
2026-01-03,product_1,8
2026-01-04,product_1,15
2026-01-05,product_1,11
2026-01-06,product_1,9
2026-01-07,product_1,13
2026-01-08,product_1,14
2026-01-09,product_1,10
2026-01-10,product_1,16
2026-01-01,product_2,6
2026-01-02,product_2,7
2026-01-03,product_2,5
2026-01-04,product_2,8
2026-01-05,product_2,6
2026-01-06,product_2,9
2026-01-07,product_2,7
2026-01-08,product_2,10
2026-01-09,product_2,8
2026-01-10,product_2,11
